 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 23, 2014 14:00 ",1232.61 ,1233.86 ,1231.16 ,1232.74 ,+1.3 ,+0.01%
"Sep 23, 2014 13:00 ",1225.34 ,1235.67 ,1224.89 ,1232.29 ,+69.5 ,+0.56%
"Sep 23, 2014 12:00 ",1223.64 ,1226.79 ,1223.26 ,1225.28 ,+16.4 ,+0.13%
"Sep 23, 2014 11:00 ",1217.7 ,1227.14 ,1217.62 ,1223.57 ,+58.7 ,+0.48%
"Sep 23, 2014 10:00 ",1216.31 ,1218.1 ,1215.88 ,1217.66 ,+13.5 ,+0.11%
"Sep 23, 2014 09:00 ",1218.91 ,1219.22 ,1215.49 ,1216.32 ,-25.9 ,-0.21%
"Sep 23, 2014 08:00 ",1219.33 ,1219.88 ,1218.29 ,1218.95 ,-3.8 ,-0.03%
"Sep 23, 2014 07:00 ",1218.19 ,1220.14 ,1218.09 ,1219.38 ,+11.9 ,+0.10%
"Sep 23, 2014 06:00 ",1218.19 ,1218.49 ,1217.24 ,1218.24 ,+0.5 ,+0.00%
"Sep 23, 2014 05:00 ",1219.19 ,1219.19 ,1217.25 ,1218.14 ,-10.5 ,-0.09%
"Sep 23, 2014 04:00 ",1215.59 ,1219.24 ,1215.34 ,1219.19 ,+36.0 ,+0.30%
"Sep 23, 2014 03:00 ",1214.88 ,1216.17 ,1214.17 ,1215.59 ,+7.1 ,+0.06%
"Sep 23, 2014 02:00 ",1214.55 ,1215.47 ,1214.27 ,1214.92 ,+3.7 ,+0.03%
"Sep 23, 2014 01:00 ",1214.12 ,1216.43 ,1214.12 ,1214.74 ,+6.2 ,+0.05%
"Sep 22, 2014 23:00 ",1215.14 ,1216.42 ,1214.09 ,1214.56 ,-5.8 ,-0.05%
"Sep 22, 2014 22:00 ",1216.98 ,1217.17 ,1214.37 ,1215.17 ,-18.1 ,-0.15%
"Sep 22, 2014 21:00 ",1216.89 ,1217.69 ,1216.74 ,1216.99 ,+1.0 ,+0.01%
"Sep 22, 2014 20:00 ",1217.09 ,1218.09 ,1216.06 ,1216.84 ,-2.5 ,-0.02%
"Sep 22, 2014 19:00 ",1219.14 ,1220.34 ,1216.49 ,1217.02 ,-21.2 ,-0.17%
"Sep 22, 2014 18:00 ",1213.49 ,1219.52 ,1212.16 ,1219.09 ,+56.0 ,+0.46%
"Sep 22, 2014 17:00 ",1214.16 ,1215.35 ,1212.66 ,1213.49 ,-6.7 ,-0.06%
"Sep 22, 2014 16:00 ",1214.88 ,1215.62 ,1211.99 ,1213.94 ,-9.4 ,-0.08%
"Sep 22, 2014 15:00 ",1214.52 ,1217.22 ,1214.39 ,1214.93 ,+4.1 ,+0.03%
