 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%),,OH diff,OL diff.,OC diff,Max,Min,Avg. Max.,2.0998811096
Sep 18, 2014 21:00 ,1226.29,1226.76,1225.61,1226.21,-0.8,-0.01%,0.47,0.68,-0.08,0.68,0.47,,
Sep 18, 2014 20:00 ,1226.23,1226.98,1225.33,1226.21,-0.2,+0.00%,0.75,0.9,-0.02,0.9,0.75,,
Sep 18, 2014 19:00 ,1226.37,1227.03,1225.73,1226.18,-1.9,-0.02%,0.66,0.64,-0.19,0.66,0.64,,
Sep 18, 2014 18:00 ,1225.69,1227.02,1224.93,1226.33,6.4,+0.05%,1.33,0.76,0.64,1.33,0.76,,
Sep 18, 2014 17:00 ,1220.89,1227.84,1218.59,1225.74,48.5,+0.40%,6.95,2.3,4.85,6.95,2.3,,
Sep 18, 2014 16:00 ,1220.28,1222.14,1219.11,1220.84,5.6,+0.05%,1.86,1.17,0.56,1.86,1.17,,
Sep 18, 2014 15:00 ,1220.18,1222.19,1215.93,1220.26,0.8,+0.01%,2.01,4.25,0.08,4.25,2.01,,
Sep 18, 2014 14:00 ,1223.78,1224.71,1219.6,1220.08,-37,-0.30%,0.93,4.18,-3.7,4.18,0.93,,
Sep 18, 2014 13:00 ,1223.15,1224.21,1222.72,1223.69,5.4,+0.04%,1.06,0.43,0.54,1.06,0.43,,
Sep 18, 2014 12:00 ,1222.99,1224.02,1222.32,1223.12,1.3,+0.01%,1.03,0.67,0.13,1.03,0.67,,
Sep 18, 2014 11:00 ,1224.5,1225.54,1222.99,1222.99,-15.1,-0.12%,1.04,1.51,-1.51,1.51,1.04,,
